| #   | Length  | Distribution | Mode     | Direction | Algorithm | Time   |
----------------------------------------------------------------------------
| 1   | 10      | Uniform      | Sort     | ASC       | Insertion | 0      |
| 2   | 10      | Uniform      | Sort     | ASC       | Heap      | 0      |
| 3   | 10      | Uniform      | Sort     | DESC      | Insertion | 0      |
| 4   | 10      | Uniform      | Sort     | DESC      | Heap      | 0      |
| 5   | 10      | Uniform      | TopK     | ASC       | Insertion | 0      |
| 6   | 10      | Uniform      | TopK     | ASC       | Heap      | 0      |
| 7   | 10      | Uniform      | TopK     | DESC      | Insertion | 0      |
| 8   | 10      | Uniform      | TopK     | DESC      | Heap      | 0      |
| 9   | 10      | Uniform      | FastTopK | ASC       | Insertion | 0      |
| 10  | 10      | Uniform      | FastTopK | ASC       | Heap      | 0      |
| 11  | 10      | Uniform      | FastTopK | DESC      | Insertion | 0      |
| 12  | 10      | Uniform      | FastTopK | DESC      | Heap      | 0      |
| 13  | 10      | Normal       | Sort     | ASC       | Insertion | 0      |
| 14  | 10      | Normal       | Sort     | ASC       | Heap      | 0      |
| 15  | 10      | Normal       | Sort     | DESC      | Insertion | 0      |
| 16  | 10      | Normal       | Sort     | DESC      | Heap      | 0      |
| 17  | 10      | Normal       | TopK     | ASC       | Insertion | 0      |
| 18  | 10      | Normal       | TopK     | ASC       | Heap      | 0      |
| 19  | 10      | Normal       | TopK     | DESC      | Insertion | 0      |
| 20  | 10      | Normal       | TopK     | DESC      | Heap      | 0      |
| 21  | 10      | Normal       | FastTopK | ASC       | Insertion | 0      |
| 22  | 10      | Normal       | FastTopK | ASC       | Heap      | 0      |
| 23  | 10      | Normal       | FastTopK | DESC      | Insertion | 0      |
| 24  | 10      | Normal       | FastTopK | DESC      | Heap      | 0      |
| 25  | 100     | Uniform      | Sort     | ASC       | Insertion | 0      |
| 26  | 100     | Uniform      | Sort     | ASC       | Heap      | 0      |
| 27  | 100     | Uniform      | Sort     | DESC      | Insertion | 0      |
| 28  | 100     | Uniform      | Sort     | DESC      | Heap      | 0      |
| 29  | 100     | Uniform      | TopK     | ASC       | Insertion | 0      |
| 30  | 100     | Uniform      | TopK     | ASC       | Heap      | 0      |
| 31  | 100     | Uniform      | TopK     | DESC      | Insertion | 0      |
| 32  | 100     | Uniform      | TopK     | DESC      | Heap      | 0      |
| 33  | 100     | Uniform      | FastTopK | ASC       | Insertion | 0      |
| 34  | 100     | Uniform      | FastTopK | ASC       | Heap      | 0      |
| 35  | 100     | Uniform      | FastTopK | DESC      | Insertion | 0      |
| 36  | 100     | Uniform      | FastTopK | DESC      | Heap      | 0      |
| 37  | 100     | Normal       | Sort     | ASC       | Insertion | 0      |
| 38  | 100     | Normal       | Sort     | ASC       | Heap      | 0      |
| 39  | 100     | Normal       | Sort     | DESC      | Insertion | 0      |
| 40  | 100     | Normal       | Sort     | DESC      | Heap      | 0      |
| 41  | 100     | Normal       | TopK     | ASC       | Insertion | 0      |
| 42  | 100     | Normal       | TopK     | ASC       | Heap      | 0      |
| 43  | 100     | Normal       | TopK     | DESC      | Insertion | 0      |
| 44  | 100     | Normal       | TopK     | DESC      | Heap      | 0      |
| 45  | 100     | Normal       | FastTopK | ASC       | Insertion | 0      |
| 46  | 100     | Normal       | FastTopK | ASC       | Heap      | 0      |
| 47  | 100     | Normal       | FastTopK | DESC      | Insertion | 0      |
| 48  | 100     | Normal       | FastTopK | DESC      | Heap      | 0      |
| 49  | 1000    | Uniform      | Sort     | ASC       | Insertion | 0      |
| 50  | 1000    | Uniform      | Sort     | ASC       | Heap      | 0      |
| 51  | 1000    | Uniform      | Sort     | DESC      | Insertion | 0      |
| 52  | 1000    | Uniform      | Sort     | DESC      | Heap      | 0      |
| 53  | 1000    | Uniform      | TopK     | ASC       | Insertion | 0      |
| 54  | 1000    | Uniform      | TopK     | ASC       | Heap      | 0      |
| 55  | 1000    | Uniform      | TopK     | DESC      | Insertion | 0      |
| 56  | 1000    | Uniform      | TopK     | DESC      | Heap      | 0      |
| 57  | 1000    | Uniform      | FastTopK | ASC       | Insertion | 0      |
| 58  | 1000    | Uniform      | FastTopK | ASC       | Heap      | 0      |
| 59  | 1000    | Uniform      | FastTopK | DESC      | Insertion | 0      |
| 60  | 1000    | Uniform      | FastTopK | DESC      | Heap      | 0      |
| 61  | 1000    | Normal       | Sort     | ASC       | Insertion | 0      |
| 62  | 1000    | Normal       | Sort     | ASC       | Heap      | 0      |
