Name,Location
Akagi,Gunma Prefecture
Akina,Gunma Prefecture
Enna Skyline,Tochigi Prefecture
Gunsai Touge,Gunma Prefecture
Hakone Turnpike,Kanagawa Prefecture
Happogahara,Tochigi Prefecture
Irohazaka,Tochigi Prefecture
Lake Akina,Gunma Prefecture
Maze Pass,Saitama Prefecture
Momiji Line,Tochigi Prefecture
Myogi,Gunma Prefecture
Nagao,Shizuoka Prefecture
Nanamagari,Kanagawa Prefecture
Odawara Pikes Peak,Kanagawa Prefecture
Sadamine,Saitama Prefecture
Shomaru Pass,Saitama Prefecture
Tsubaki Line,Saitama Prefecture
Tsuchisaka,Saitama Prefecture
Tsukuba,Ibaraki Prefecture
Usui Pass,Nagano Prefecture
Yabitsu,Kanagawa Prefecture
